id,v19,weight,정보부족,evidence
PPS-D-005940,0,4.1033,False,
PPS-D-005966,0,4.1033,False,
PPS-D-006005,0,4.1033,False,
PPS-D-006351,0,4.1033,False,
PPS-D-006561,0,4.1033,False,
PPS-D-006576,0,4.1033,False,
PPS-D-006604,0,4.1033,False,
PPS-D-006643,0,4.1033,False,
PPS-D-006667,0,4.1033,False,
PPS-D-006735,0,4.1033,False,
PPS-D-006894,0,4.1033,False,
PPS-D-007139,0,4.1033,False,
PPS-D-007188,0,4.1033,False,
PPS-D-007602,0,4.1033,False,
PPS-D-007924,0,4.1033,False,
PPS-D-008045,0,4.1033,False,
PPS-D-008082,0,4.1033,False,
PPS-D-008125,0,4.1033,False,
PPS-D-008151,1,4.1033,False,전자입찰서 제출 마감일 전일까지
PPS-D-008159,0,4.1033,False,
PPS-D-008363,0,4.1033,False,
PPS-D-008654,0,4.1033,False,
PPS-D-008695,0,4.1033,False,
PPS-D-008716,0,4.1033,False,
PPS-D-008932,0,4.1033,False,
PPS-D-009105,0,4.1033,False,
PPS-D-009108,0,4.1033,False,
PPS-D-009139,0,4.1033,False,
PPS-D-009354,0,4.1033,False,
PPS-D-009384,0,4.1033,False,
PPS-D-009410,0,4.1033,False,
PPS-D-009424,0,4.1033,False,
PPS-D-009447,0,4.1033,False,
PPS-D-009625,0,4.1033,False,
PPS-D-009705,0,4.1033,False,
PPS-D-009706,0,4.1033,False,
PPS-D-009750,0,4.1033,False,
PPS-D-009776,0,4.1033,False,
PPS-D-009989,0,4.1033,False,
PPS-D-010016,0,4.1033,False,
PPS-D-010168,0,4.1033,False,
PPS-D-010228,0,4.1033,False,
PPS-D-010262,0,4.1033,False,
PPS-D-010266,0,4.1033,False,
PPS-D-010284,0,4.1033,False,
PPS-D-010285,0,4.1033,False,
PPS-D-010402,0,4.1033,False,
PPS-D-010449,0,4.1033,False,
PPS-D-010676,1,4.1033,False,개찰 전
PPS-D-010678,0,4.1033,False,
PPS-D-010689,0,4.1033,False,
PPS-D-010871,0,4.1033,False,
PPS-D-010901,0,4.1033,False,
PPS-D-011050,0,4.1033,False,
PPS-D-011099,0,4.1033,False,
PPS-D-011100,0,4.1033,False,
PPS-D-011311,0,4.1033,False,
PPS-D-011564,0,4.1033,False,
PPS-D-011603,0,4.1033,False,
PPS-D-011744,0,4.1033,False,
PPS-D-011810,0,4.1033,False,
PPS-D-012086,0,4.1033,False,
PPS-D-012100,0,4.1033,False,
PPS-D-012125,1,4.1033,False,전자입찰서 제출 마감일 전일까지
PPS-D-012186,1,4.1033,False,전자입찰 접수 마감 전
PPS-D-012321,0,4.1033,False,
PPS-D-012336,0,4.1033,False,
PPS-D-012369,0,4.1033,False,
PPS-D-012464,0,4.1033,False,
PPS-D-012586,0,4.1033,False,
PPS-D-012620,0,4.1033,False,
PPS-D-012676,1,4.1033,False,전자입찰서 제출마감일 전일까지
PPS-D-012690,0,4.1033,False,
PPS-D-012819,0,4.1033,False,
PPS-D-012934,0,4.1033,False,
PPS-D-012940,0,4.1033,False,
PPS-D-013039,0,4.1033,False,
PPS-D-013108,0,4.1033,False,
PPS-D-013110,0,4.1033,False,
PPS-D-013232,0,4.1033,False,
PPS-D-013280,0,4.1033,False,
PPS-D-013285,0,4.1033,False,
PPS-D-013416,0,4.1033,False,
PPS-D-013471,0,4.1033,True,
PPS-D-013568,0,4.1033,False,
PPS-D-013574,0,4.1033,False,
PPS-D-013957,0,4.1033,False,
PPS-D-014016,0,4.1033,False,
PPS-D-014032,0,4.1033,False,
PPS-D-014211,0,4.1033,False,
PPS-D-014223,0,4.1033,False,
PPS-D-014374,0,4.1033,False,
PPS-D-014441,0,4.1033,False,
PPS-D-014608,0,4.1033,False,
PPS-D-014612,0,4.1033,False,
PPS-D-014658,0,4.1033,False,
PPS-D-014721,0,4.1033,False,
PPS-D-014804,0,4.1033,False,
PPS-D-014819,0,4.1033,False,
PPS-D-015230,0,4.1033,False,
PPS-D-015241,0,4.1033,False,
PPS-D-015249,0,4.1033,False,
PPS-D-015263,1,4.1033,False,투찰 전
PPS-D-015355,0,4.1033,False,
PPS-D-015446,0,4.1033,False,
PPS-D-015462,0,4.1033,False,
PPS-D-015584,0,4.1033,False,
PPS-D-015638,0,4.1033,False,
PPS-D-015691,0,4.1033,False,
PPS-D-015770,0,4.1033,False,
PPS-D-015841,0,4.1033,False,
PPS-D-015874,0,4.1033,False,
PPS-D-015883,0,4.1033,False,
PPS-D-016097,0,4.1033,False,
PPS-D-016101,0,4.1033,False,
PPS-D-016106,0,4.1033,False,
PPS-D-016108,0,4.1033,False,
PPS-D-016157,0,4.1033,False,
PPS-D-016253,1,4.1033,False,전자입찰참가신청시 규격입찰서 파일 첨부하여 발송
PPS-D-016514,0,4.1033,False,
PPS-D-016532,0,4.1033,False,
PPS-D-016582,0,4.1033,False,
PPS-D-016674,0,4.1033,False,
PPS-D-016766,0,4.1033,False,
PPS-D-016834,0,4.1033,False,
PPS-D-016835,0,4.1033,False,
PPS-D-016858,0,4.1033,False,
PPS-D-016922,0,4.1033,False,
PPS-D-016999,0,4.1033,False,
PPS-D-017035,0,4.1033,False,
PPS-D-017052,0,4.1033,False,
PPS-D-017060,0,4.1033,False,
PPS-D-017143,0,4.1033,False,
PPS-D-017201,0,4.1033,False,
PPS-D-017308,0,4.1033,False,
PPS-D-017315,0,4.1033,False,
PPS-D-017366,0,4.1033,False,
PPS-D-017454,0,4.1033,False,
PPS-D-017461,0,4.1033,False,
PPS-D-017465,0,4.1033,True,
PPS-D-017469,0,4.1033,False,
PPS-D-017480,0,4.1033,False,
PPS-D-017554,0,4.1033,False,
PPS-D-017686,0,4.1033,False,
PPS-D-017703,0,4.1033,False,
PPS-D-017727,0,4.1033,False,
PPS-D-017743,0,4.1033,False,
PPS-D-017887,1,4.1033,False,입찰등록시
PPS-D-017898,0,4.1033,False,
PPS-D-017921,0,4.1033,False,
PPS-D-017945,0,4.1033,False,
PPS-D-017984,0,4.1033,False,
PPS-D-018085,0,4.1033,False,
PPS-D-018111,0,4.1033,False,
PPS-D-018253,0,4.1033,False,
PPS-D-018279,0,4.1033,False,
PPS-D-018470,0,4.1033,False,
PPS-D-018483,0,4.1033,False,
PPS-D-018597,0,4.1033,False,
PPS-D-018606,0,4.1033,False,
PPS-D-018710,0,4.1033,False,
PPS-D-018831,0,4.1033,False,
PPS-D-018855,0,4.1033,False,
PPS-D-018885,0,4.1033,False,
PPS-D-018896,0,4.1033,False,
PPS-D-018958,0,4.1033,False,
PPS-D-018967,0,4.1033,False,
PPS-D-018970,0,4.1033,False,
PPS-D-018974,0,4.1033,False,
PPS-D-018978,0,4.1033,False,
PPS-D-019028,0,4.1033,False,
PPS-D-019106,0,4.1033,False,
PPS-D-019124,0,4.1033,False,
PPS-D-019200,0,4.1033,False,
PPS-D-019297,0,4.1033,False,
PPS-D-019389,0,4.1033,False,
PPS-D-019469,0,4.1033,False,
PPS-D-019490,0,4.1033,False,
PPS-D-019534,0,4.1033,False,
PPS-D-019540,0,4.1033,False,
PPS-D-019545,0,4.1033,False,
PPS-D-019633,0,4.1033,False,
PPS-D-019669,0,4.1033,False,
PPS-D-019723,0,4.1033,False,
PPS-D-019747,0,4.1033,False,
PPS-D-019886,0,4.1033,False,
PPS-D-019924,0,4.1033,False,
PPS-D-019936,0,4.1033,False,
PPS-D-019980,0,4.1033,False,
PPS-D-020246,0,4.1033,False,
PPS-D-020300,0,4.1033,True,
PPS-D-020329,0,4.1033,False,
PPS-D-020358,0,4.1033,False,
PPS-D-020393,0,4.1033,False,
PPS-D-020456,0,4.1033,False,
PPS-D-020494,0,4.1033,False,
PPS-D-020551,0,4.1033,False,
PPS-D-020665,0,4.1033,False,
PPS-D-020696,0,4.1033,False,
PPS-D-020715,0,4.1033,False,
PPS-D-020749,0,4.1033,False,
PPS-D-020770,0,4.1033,False,
PPS-D-020963,0,4.1033,False,
PPS-D-021015,0,4.1033,False,
PPS-D-021025,0,4.1033,False,
PPS-D-021028,0,4.1033,False,
PPS-D-021055,0,4.1033,False,
PPS-D-021174,0,4.1033,False,
PPS-D-021247,0,4.1033,False,
PPS-D-021286,0,4.1033,False,
PPS-D-021322,0,4.1033,False,
PPS-D-021368,0,4.1033,False,
PPS-D-021374,0,4.1033,False,
PPS-D-021397,0,4.1033,False,
PPS-D-021403,0,4.1033,False,
PPS-D-021474,0,4.1033,False,
PPS-D-021553,0,4.1033,False,
PPS-D-021563,0,4.1033,False,
PPS-D-021564,0,4.1033,False,
PPS-D-021673,0,4.1033,False,
PPS-D-021675,0,4.1033,False,
PPS-D-021678,0,4.1033,True,
PPS-D-021719,0,4.1033,False,
PPS-D-021786,0,4.1033,False,
PPS-D-021796,0,4.1033,False,
PPS-D-021809,1,4.1033,False,전자입찰서 제출 마감일 전일까지
